Name,Food,Street,Phone,Rating
Gonoe Sushi,japanese,"Queens Quay West, Toronto",+1 655-776-1586,3.1
Shoeless Joe's,grill,"Yonge St, Toronto",+1 610-877-6286,2.8
Wild Wing,chicken,"Queens Quay West, Toronto",+1 980-152-5156,1.1
Wimpy's Diner,diner,"Bay St, Toronto",+1 928-466-9641,4.6
Pizza Hut,pizza,"Bloor St, Toronto",+1 789-128-7250,4.9
Lebanon Express,middle_eastern,"Roncesvalles Avenue, Toronto",+1 638-795-9342,2.7
Swiss Chalet,chicken,"College St, Toronto",+1 935-506-4642,1.8
Pimienta Restaurant,Tacos,"Bay St, Toronto",+1 975-897-7198,2.9
Swiss Chalet,chicken,"Bay St, Toronto",+1 903-367-6632,2.5
Dang Smoke BBQ,barbecue,"Greenwood Avenue, Toronto",+1 793-639-1871,1.6
Courtney's Places,Pasta,"West Main Street, Toronto",+1 999-514-6213,3.2
Legenda,mexican,"Bay St, Toronto",+1 792-591-5601,3.8
Beach Hill Restaurant,Pasta,"Gerrard Street East, Toronto",+1 791-306-8163,2.1
Vietnamese Delight,Pasta,"College St, Toronto",+1 668-945-7498,3.2
Grass Mountain Villa Seafood,Pizza,"Bloor St, Toronto",+1 972-722-9997,3.4
The Rec Room,Pizza,"Bremner Boulevard, Toronto",+1 995-999-6265,2.9
Paramount Fine Foods,middle_eastern,"Don Mills Road, North York",+1 915-795-5533,1.2
Anejo,Salad,"Queen St, Toronto",+1 753-346-9676,1.6
Joey,regional,"Dundas St, Toronto",+1 653-377-4475,2.5
The Good Son,italian,"Spadina Ave, Toronto",+1 938-487-3881,3.8
Congee Queen,Steak,"Lawrence Avenue East, North York",+1 642-116-3068,2.6
The Big Slice Restaurant,pizza,"Queen St, Toronto",+1 686-366-8930,1.2
St. Louis Bar & Grill,chicken,"Bloor St, Toronto",+1 660-460-2370,4.5
High Park Spicy House,indian,"Dundas Street West, Toronto",+1 818-206-5529,1.4
The Purple Onion,steak_house,"Dundas Street West, Toronto",+1 864-337-5646,1.1
3 Brewers,burger;pizza;seafood,"Queen St, Toronto",+1 712-717-1879,2.6
Gabby's,Salad,"Yonge Street, Toronto",+1 774-632-7349,3.4
PhaYao Thai,thai,"Yonge Street, North York",+1 914-864-2357,4.1
Meetpoint,turkish,"Roncesvalles Avenue, Toronto",+1 655-110-6137,4.5
The Chestnut Tree,BBQ,"Bay St, Toronto",+1 727-828-1758,3
Hello 123,Tacos,"Queen Street West, Toronto",+1 941-617-1019,4.7
Mademoiselle,BBQ,"King Street West, Toronto",+1 787-879-3824,1.4
Rodney's Oyster House,Falafel,"Yonge St, Toronto",+1 995-990-6699,2.5
Peking Man Restaurant,Burger,"Dundas St, Toronto",+1 978-461-5627,2.3
Burger Hut,Ramen,"Yonge St, Toronto",+1 975-653-6669,4
SunShine Spot,BBQ,"Sheppard Avenue East, North York",+1 614-801-2653,1.9
Café Polonez,polish,"Roncesvalles Avenue, Toronto",+1 995-981-7670,4.6
Sangria Lounge,Pasta,"College St, Toronto",+1 847-583-9276,1.7
Chinese Hut,chinese,"King St, Toronto",+1 816-584-1893,2.6
Aji Sai Restaurant,Steak,"Spadina Ave, Toronto",+1 624-836-9969,1.2
Big Fat Burrito,BBQ,"Bloor St, Toronto",+1 659-756-1135,3.6
Wanda's Pie in the Sky,Sushi,"College St, Toronto",+1 831-248-1573,4.6
Urban Herbivore,Pizza,"Spadina Ave, Toronto",+1 645-819-5083,2.4
Swiss Chalet,chicken,"Bloor St, Toronto",+1 983-854-8820,1.6
Ultra Restaurant and Lounge,Tacos,"Bloor St, Toronto",+1 951-405-6823,4.3
Evviva,coffee_shop,"Eglinton Avenue East, Toronto",+1 762-149-3525,4.7
Boston Pizza,pizza,"Eglinton Avenue East, Toronto",+1 760-501-3751,3.2
Snakes & Lattes,Burger,"King St, Toronto",+1 897-372-4867,3
Copacabana,brazilian,"Eglinton Avenue East, Toronto",+1 871-681-5112,3.1
Maja Indian Cuisine,indian,"Bloor Street East, Toronto",+1 851-808-6588,2.4
Wimpy's Diner,diner,"Spadina Ave, Toronto",+1 810-356-7884,1.5
Michi Sushi,sushi,"Bloor St, Toronto",+1 686-252-4955,1.6
Paisano's,Pizza,"Bloor St, Toronto",+1 841-624-5485,4.4
Swiss Chalet,chicken,"Spadina Ave, Toronto",+1 798-814-8025,3.5
Join Sushi,sushi,"Kingston Road, Toronto",+1 970-119-8538,3.4
Pit Stop Tropical Restaurant,Tacos,"Bloor St, Toronto",+1 947-672-7096,3.3
Unknown,BBQ,"Bay St, Toronto",+1 668-318-1872,4.2
Cafe Landwer,coffee_shop,"University Avenue, Toronto",+1 945-805-5869,1.3
Outrigger,BBQ,"Queen Street East, Toronto",+1 722-185-1293,4.4
Shirley Restaurant,Burger,"College St, Toronto",+1 787-468-9950,3.9
Korean Grill House,korean,"Queen Street West, Toronto",+1 708-577-6184,3.5
Planta Queen,BBQ,"Queen Street West, Toronto",+1 613-525-4506,3.5
Canyon Creek,Burger,"Dundas St, Toronto",+1 673-556-1053,3.9
Jack Astor's,american,"Front Street West, Toronto",+1 968-431-2080,1.6
Trio 3,Pasta,"Bay St, Toronto",+1 888-355-1431,4.2
Yorkville Crepes,crepe,"Spadina Ave, Toronto",+1 851-457-3767,2.2
Lahori Taste,pakistani,"Queen St, Toronto",+1 673-130-4373,2.6
Shinyi Seafood + Dumplings,seafood,"Bay St, Toronto",+1 819-215-1141,4.8
Ichiban Sushi,sushi,"Dundas St, Toronto",+1 927-584-7564,2.3
Wimpy's Diner,diner,"Yonge St, Toronto",+1 951-202-2398,4.1
Jack Astor's,american,"The Queensway, Etobicoke",+1 861-928-2209,2.6
Chef of India,indian,"Eglinton Avenue East, Toronto",+1 852-157-4333,1.4
Benihana,japanese;teppanyaki;steak,"Yonge St, Toronto",+1 898-914-4833,1.7
Bardi's Steak House,Falafel,"King St, Toronto",+1 810-535-7578,3.6
Lamhan,thai;sandwich,"Bloor Street West, Toronto",+1 943-198-1156,2.5
Monkey Sushi Restaurant,sushi,"Dundas St, Toronto",+1 706-749-9463,3.1
Souvlaki Place,greek,"Bloor Street West, Toronto",+1 762-958-1200,3.9
Mezcalero,BBQ,"Bloor St, Toronto",+1 887-169-2838,4.2
Future Bistro,Salad,"Bloor Street West, Toronto",+1 647-928-7339,3
Tenon Vegan Sushi,sushi,"Yonge St, Toronto",+1 748-409-5083,3.4
Myeongdong,thai;asian,"Queen St, Toronto",+1 733-996-1409,3
Indian Desire,indian,"Bloor Street West, Toronto",+1 693-372-6737,3.9
BMV Cafe,coffee_shop,"Queen St, Toronto",+1 909-754-5583,2.9
Wild Wing,chicken,"Bloor Street West, Toronto",+1 745-121-9458,1.8
Crafty Coyote,Burger,"Bloor Street West, Toronto",+1 981-336-8635,2.6
EAT BKK,thai,"College St, Toronto",+1 965-286-1559,2
Gully,indian,"Bloor Street West, Toronto",+1 884-330-7796,3
Sushi on Bloor,japanese,"Bloor Street West, Toronto",+1 904-174-9275,3.6
Kibo Sushi,sushi,"Bloor Street West, Toronto",+1 956-726-4229,5
K-Wok,asian,"Queen St, Toronto",+1 746-159-8300,4
Mogouyan Hand Pulled Noodle,chinese,"Yonge Street, Toronto",+1 847-711-1549,4.5
Monga Fried Chicken,chicken,"Dundas St, Toronto",+1 917-245-5432,2.6
The Boil Bar,BBQ,"Spadina Ave, Toronto",+1 956-307-2677,2.9
Unknown,BBQ,"College St, Toronto",+1 688-258-1750,2.6
King Palace Restaurant,Salad,"Church Street, Toronto",+1 882-621-4094,4.8
Kiro Sushi,sushi,"Spadina Ave, Toronto",+1 859-895-4308,2.5
New Diamond Restaurant,BBQ,"Yonge St, Toronto",+1 930-315-8351,4.1
Terrazza,Burger,"Harbord Street, Toronto",+1 601-737-1693,2.8
Bike Joint,Burger,"Harbord Street, Toronto",+1 661-508-3461,2
Maguro House,Pasta,"Queen St, Toronto",+1 790-544-6322,1.1
The Belsize Public House,Steak,"Mount Pleasant Road, Toronto",+1 754-600-7140,3.3
Celestin,Ramen,"Dundas St, Toronto",+1 850-513-9566,4.6
Piazza Manna,Salad,"Bloor St, Toronto",+1 788-627-9257,3.8
Wimpy's,diner,"King St, Toronto",+1 625-967-5434,2.4
All-Star Wings & Ribs,Falafel,"Dundas St, Toronto",+1 805-295-5111,1.1
Shoeless Joe's,grill,"Queen St, Toronto",+1 687-376-7942,3.3
Golden Griddle,Pasta,"Spadina Ave, Toronto",+1 654-872-7010,4.4
Freshii,salad,"Bloor St, Toronto",+1 709-973-2230,4.9
Rashnaa,Steak,"Wellesley Street East, Toronto",+1 621-368-1344,3.5
Kibo Sushi House,sushi,"Queen Street East, Toronto",+1 674-306-6058,1.9
Jesse Jr. Restaurant,Tacos,"Queen St, Toronto",+1 856-305-9970,2
Oriental Kitchen,Pizza,"Queen St, Toronto",+1 762-400-3762,4.6
Swiss Chalet,chicken,"Don Mills Road, North York",+1 937-173-6226,4.5
Markham Station,Pasta,"Sheppard Avenue East, Scarborough",+1 618-114-7370,2.7
The Chef's House,BBQ,"Queen St, Toronto",+1 773-828-8756,3.1
Cafe la Gaffe,BBQ,"Baldwin Street, Toronto",+1 637-118-2084,2.5
Shopsy's,Pasta,"Queen St, Toronto",+1 687-356-9764,4.3
Ruth's Chris Steak House,american;steak_house,"Bloor St, Toronto",+1 611-565-7598,1.8
Aztec's Mine,mexican,"Bloor Street West, Toronto",+1 748-737-6515,3.5
Chris Jerk,jamaican,"Birchmount Road, Scarborough",+1 827-487-8731,4.5
The Cherie Bistro,french;italian,"Church Street, Toronto",+1 903-285-7389,4.3
The Keg,steak_house,"Yonge Street, Toronto",+1 794-222-2204,3.9
Chacho's,mexican,"Merton Street, Toronto",+1 885-440-6414,1.5
Camros Organic Eatery,organic,"Bloor St, Toronto",+1 843-373-3914,2
Dreyfus,Ramen,"Harbord Street, Toronto",+1 708-876-3944,2
Libra Lounge,Falafel,"Yonge St, Toronto",+1 774-315-5100,3.5
Dentsu,Salad,"King Street West, Toronto",+1 827-967-2815,3.9
Pancho y Emiliano,mexican,"Yonge St, Toronto",+1 880-405-3056,2.4
King Street Social Kitchen Bar,Pasta,"Dundas St, Toronto",+1 764-245-1647,4.2
The Daily Plate,Steak,"Bay St, Toronto",+1 964-565-4875,2.2
259 host ...a fine indian restaurant,Pasta,"Wellington Street West, Toronto",+1 703-447-7663,1.4
Oasis Rooftop Lounge,Salad,"Bloor St, Toronto",+1 614-646-3128,1.7
Milagro Cantina Mexicana,mexican,"Spadina Ave, Toronto",+1 725-312-9528,1.3
Freshii,salad,"Queen St, Toronto",+1 805-636-1586,1.7
Freshii,salad,"Dundas St, Toronto",+1 956-975-2037,1.3
Burger Bar,Burger,"Queen St, Toronto",+1 880-897-1942,4.1
Fran's Restaurant,Burger,"College Street, Toronto",+1 611-684-6586,3
Tosto,italian,"Bay Street, Toronto",+1 782-926-6659,1.9
Shopsy's,Falafel,"Bay St, Toronto",+1 734-497-3192,4.5
Estiatorio Volos,greek,"Richmond Street West, Toronto",+1 989-645-9870,4.2
Tundra Restaurant and Bar,Salad,"Yonge St, Toronto",+1 861-730-2353,3.9
Eden Trattoria,BBQ,"Spadina Ave, Toronto",+1 836-141-7304,1.2
Freshii,salad,"Queen St, Toronto",+1 811-184-8724,2.4
Ninki Japanese Cuisine,japanese,"King Street West, Toronto",+1 916-274-6226,2.1
Mio RistoBar,BBQ,"Bay St, Toronto",+1 707-979-2156,2
Piazza Manna Restaurant & Bar,BBQ,"Dundas St, Toronto",+1 712-865-4839,4.8
Oyshi Sushi,sushi,"Yonge St, Toronto",+1 864-765-5135,1.2
Ta-Ke Sushi,sushi,"Bay St, Toronto",+1 651-408-5128,4
Turf Lounge,Pasta,"Bay Street, Toronto",+1 703-465-9550,4.4
Mercatto Restaurant,Pasta,"Bay Street, Toronto",+1 951-301-9028,2.9
Bluestone Grill & Bar,international,"College St, Toronto",+1 785-171-6945,2.7
Little Anthony's,Pasta,"Richmond Street West, Toronto",+1 799-493-8753,1.6
Trattoria Mercatto,italian,"Bloor St, Toronto",+1 969-575-3519,2.9
Touhenboku Ramen,japanese,"Queen Street West, Toronto",+1 979-908-8532,4.2
The Pearl of Asia,BBQ,"Dundas St, Toronto",+1 896-745-9405,2.4
Blanco Cantina,mexican,"Bloor Street West, Toronto",+1 935-583-2224,2.9
Unknown,Sushi,"Follis Avenue, Toronto",+1 942-623-8763,2.1
Banjara,indian,"Bloor Street West, Toronto",+1 908-294-5375,1.2
Freshii,salad,"Bloor Street West, Toronto",+1 692-123-5261,4.9
Pizzeria Libretto,pizza,"Ossington Avenue, Toronto",+1 755-861-2357,2.2
Smoque N' Bones,barbecue,"Queen Street West, Toronto",+1 831-192-8127,4.4
O Patio Churrasqueira,portuguese;chicken,"Keele Street, Toronto",+1 640-346-2526,3.3
Sip Wine Bar,italian,"Broadway Avenue, Toronto",+1 867-877-1751,4.3
Uncle Betty's Diner,diner,"Yonge Street, Toronto",+1 986-874-3201,2.6
Pizza Pide,pizza,"Bay St, Toronto",+1 934-660-1636,2.4
Lebanese Garden,lebanese,"College Street, Toronto",+1 907-879-1862,1.9
African Delight,Pizza,"Bloor Street West, Toronto",+1 621-102-6514,4.5
African Palace,ethiopian,"Bloor Street West, Toronto",+1 735-503-4031,3.5
Barberian's Steakhouse and Tavern,steak_house,"Bloor St, Toronto",+1 895-932-8116,2.8
Pizza Hut,pizza,"Kingston Road, Toronto",+1 644-850-8532,4.2
O&B Canteen,regional,"King Street West, Toronto",+1 885-611-4448,4.1
Mi Ne Sushi Japanese Restaurant,sushi,"Dundas St, Toronto",+1 812-618-4719,4.1
Beast Restaurant,Falafel,"Tecumseth Street, Toronto",+1 786-233-9083,3.4
Liberty Village Market & Café,Ramen,"Bay St, Toronto",+1 749-361-3917,4.1
Shoeless Joe's,grill,"Queen St, Toronto",+1 694-520-2001,3.3
Dynasty Chinese Cuisine,chinese,"Bloor Street West, Toronto",+1 923-150-2525,3.4
Daily Sushi Japanese restaurant,sushi,"Spadina Ave, Toronto",+1 927-157-3095,1.2
Ghoroaa,bangladeshi,"Kennedy Road, Toronto",+1 943-534-4809,1.6
Sea Town West Indian Restaurant,jamaican,"Yonge St, Toronto",+1 990-513-5871,4
Caribbean Splash,jamaican,"College St, Toronto",+1 824-853-1248,3.4
Chung Moi,chinese,"King St, Toronto",+1 895-688-1959,2.1
Tagpuan,filipino,"Kennedy Road, Toronto",+1 919-716-1591,4.8
Morton's Grille,steak_house,"Dundas St, Toronto",+1 970-739-3573,4
Ichiban Sushi,sushi,"Dundas St, Toronto",+1 681-813-5181,2.5
Kinton Ramen,ramen,"Dundas St, Toronto",+1 910-741-9835,2.7
Churrasco Villa,portuguese,"Queen St, Toronto",+1 754-244-7271,2.7
Millwood Bread & Butter,BBQ,"Bloor St, Toronto",+1 818-884-2231,4.3
Ubon Thai,Ramen,"Mount Pleasant Road, Toronto",+1 944-943-6936,1.3
Cora,breakfast,"Front Street East, Toronto",+1 891-203-2329,3.1
Paramount Middle Eastern Cuisine and Bakery,Pasta,"Yonge Street, Toronto",+1 834-622-1407,3.7
Kairali,indian,"Kennedy Road, Scarborough",+1 970-328-9585,2.2
Karaikudi Chettinad South Indian Restaurant,Falafel,"Bloor St, Toronto",+1 904-654-6349,2.9
Swiss Chalet,chicken,"Spadina Ave, Toronto",+1 841-304-7045,1.2
Mia Brunch Bar,breakfast,"Yonge Street, Toronto",+1 682-615-7992,2
Sushi Supreme,sushi,"Yonge Street, Toronto",+1 806-531-1661,1.9
Boston Pizza,pizza,"King St, Toronto",+1 971-161-6962,1.4
Sakura Japanese Foods,sushi,"King St, Toronto",+1 707-295-7192,1.5
You Don Ya,japanese,"Yonge St, Toronto",+1 827-596-4481,3.6
Shogun Japanese Restaurant & Sushi Bar,japanese,"Bloor St, Toronto",+1 957-581-5004,3.4
Crown & Dragon Restaurant,Steak,"College St, Toronto",+1 695-464-8064,4.6
Capocaccia,italian,"Queen St, Toronto",+1 871-341-7268,4.1
